iter	Passed	Remaining
0	1	131
1	2	119
2	3	112
3	4	103
4	5	106
5	6	103
6	7	102
7	8	100
8	9	99
9	10	97
10	11	96
11	12	95
12	14	93
13	15	92
14	16	91
15	17	89
16	18	89
17	19	88
18	20	86
19	21	85
20	22	84
21	23	83
22	24	82
23	25	80
24	26	79
25	27	78
26	28	77
27	29	76
28	30	75
29	33	78
30	34	77
31	35	76
32	37	75
33	38	73
34	39	72
35	40	71
36	41	70
37	42	69
38	43	67
39	44	66
40	45	65
41	45	63
42	46	62
43	47	61
44	48	59
45	49	58
46	50	57
47	51	56
48	53	55
49	54	54
50	55	53
51	56	51
52	57	50
53	58	49
54	59	48
55	60	47
56	61	46
57	62	45
58	63	44
59	64	42
60	65	41
61	66	40
62	67	39
63	68	38
64	69	37
65	70	36
66	71	35
67	72	34
68	73	33
69	74	32
70	75	31
71	76	29
72	77	28
73	78	27
74	79	26
75	80	25
76	81	24
77	82	23
78	83	22
79	85	21
80	86	20
81	87	19
82	88	18
83	89	17
84	90	15
85	91	14
86	92	13
87	93	12
88	94	11
89	95	10
90	96	9
91	97	8
92	98	7
93	100	6
94	101	5
95	102	4
96	103	3
97	104	2
98	105	1
99	106	0
