iter	Passed	Remaining
0	139	138904
1	140	69941
2	141	46940
3	142	35430
4	143	28523
5	144	23920
6	145	20673
7	146	18204
8	147	16292
9	149	14817
10	150	13551
11	151	12494
12	152	11597
13	153	10832
14	154	10165
15	155	9585
16	156	9072
17	157	8615
18	159	8215
19	160	7852
20	161	7521
21	163	7260
22	164	7003
23	166	6753
24	167	6522
25	168	6310
26	169	6123
27	170	5934
28	171	5757
29	172	5592
30	173	5438
31	174	5293
32	177	5187
33	178	5064
34	179	4944
35	180	4830
36	181	4722
37	182	4624
38	183	4527
39	184	4435
40	185	4345
41	186	4261
42	187	4180
43	188	4102
44	189	4028
45	191	3977
46	192	3909
47	193	3844
48	194	3782
49	196	3725
50	197	3667
51	198	3611
52	199	3557
53	200	3505
54	201	3454
55	202	3406
56	203	3359
57	204	3316
58	205	3281
59	206	3239
60	207	3198
61	208	3161
62	210	3123
63	211	3086
64	212	3050
65	213	3016
66	214	2982
67	215	2949
68	216	2917
69	217	2886
70	218	2858
71	220	2838
72	221	2809
73	222	2781
74	223	2756
75	224	2731
76	225	2706
77	226	2680
78	227	2655
79	228	2630
80	229	2607
81	230	2584
82	231	2556
83	232	2534
84	234	2524
85	235	2503
86	236	2486
87	237	2465
88	238	2445
89	239	2426
90	240	2407
91	241	2388
92	242	2369
93	243	2351
94	244	2333
95	245	2315
96	246	2298
97	249	2294
98	250	2279
99	251	2263
100	252	2248
101	253	2233
102	254	2218
103	255	2203
104	256	2188
105	257	2174
106	258	2160
107	259	2146
108	260	2132
109	261	2118
110	264	2114
111	265	2103
112	266	2092
113	267	2080
114	268	2068
115	269	2057
116	271	2045
117	272	2034
118	273	2022
119	274	2010
120	275	1999
121	276	1986
122	277	1977
123	278	1968
124	279	1957
125	280	1947
126	281	1935
127	282	1925
128	283	1916
129	284	1906
130	285	1897
131	287	1888
132	288	1878
133	289	1868
134	290	1859
135	291	1849
136	293	1845
137	294	1837
138	295	1828
139	296	1819
140	297	1811
141	298	1801
142	299	1792
143	300	1784
144	301	1776
145	302	1767
146	303	1759
147	304	1751
148	305	1743
149	307	1741
150	308	1733
151	309	1726
152	310	1718
153	311	1711
154	312	1704
155	313	1697
156	314	1690
157	315	1682
158	316	1675
159	317	1668
160	318	1660
161	319	1653
162	320	1647
163	322	1643
164	323	1636
165	324	1630
166	325	1623
167	326	1617
168	327	1610
169	328	1605
170	329	1598
171	330	1592
172	331	1586
173	332	1580
174	333	1573
175	334	1568
